[Measurement for 100kb at 13:41:51 16.41.2014] 

Pinging d1hrt2aivb7twc.cloudfront.net [54.230.99.41] with 32 bytes of data:
Reply from 54.230.99.41: bytes=32 time=49ms TTL=57
Reply from 54.230.99.41: bytes=32 time=41ms TTL=57
Reply from 54.230.99.41: bytes=32 time=42ms TTL=57
Reply from 54.230.99.41: bytes=32 time=37ms TTL=57
Reply from 54.230.99.41: bytes=32 time=28ms TTL=57
Reply from 54.230.99.41: bytes=32 time=55ms TTL=57
Reply from 54.230.99.41: bytes=32 time=28ms TTL=57
Reply from 54.230.99.41: bytes=32 time=54ms TTL=57
Reply from 54.230.99.41: bytes=32 time=28ms TTL=57
Reply from 54.230.99.41: bytes=32 time=58ms TTL=57

Ping statistics for 54.230.99.41:
    Packets: Sent = 10, Received = 10, Lost = 0 (0% loss),
Approximate round trip times in milli-seconds:
    Minimum = 28ms, Maximum = 58ms, Average = 42ms

Tshark:

 47   1.556524  192.168.1.2 -> 54.230.99.41 TCP 54 61724→80 [ACK] Seq=99 Ack=35124 Win=65792 Len=0
 48   1.692604 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 49   1.693455 54.230.99.41 -> 192.168.1.2  TCP 102 [TCP segment of a reassembled PDU]
 50   1.693524  192.168.1.2 -> 54.230.99.41 TCP 54 61724→80 [ACK] Seq=99 Ack=36572 Win=65792 Len=0
 51   1.694880 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 52   1.694882 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 53   1.694884 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 54   1.694888 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 55   1.695034  192.168.1.2 -> 54.230.99.41 TCP 54 61724→80 [ACK] Seq=99 Ack=42172 Win=65792 Len=0
 56   1.699362 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 57   1.699365 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 58   1.699367 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 59   1.699378 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 60   1.699380 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 61   1.699381 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 62   1.699383 54.230.99.41 -> 192.168.1.2  TCP 666 [TCP segment of a reassembled PDU]
 63   1.699594  192.168.1.2 -> 54.230.99.41 TCP 54 61724→80 [ACK] Seq=99 Ack=51184 Win=65792 Len=0
 64   1.726376 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 65   1.734328 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 66   1.734329 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 67   1.734330 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 68   1.734332 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 69   1.734333 54.230.99.41 -> 192.168.1.2  TCP 354 [TCP segment of a reassembled PDU]
 70   1.734484  192.168.1.2 -> 54.230.99.41 TCP 54 61724→80 [ACK] Seq=99 Ack=58484 Win=65792 Len=0
 71   1.863604 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 72   1.865453 54.230.99.41 -> 192.168.1.2  TCP 114 [TCP segment of a reassembled PDU]
 73   1.865527  192.168.1.2 -> 54.230.99.41 TCP 54 61724→80 [ACK] Seq=99 Ack=59944 Win=65792 Len=0
 74   1.865791 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 75   1.867491 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 76   1.867515 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 77   1.867516 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 78   1.867520 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 79   1.867521 54.230.99.41 -> 192.168.1.2  TCP 354 [TCP segment of a reassembled PDU]
 80   1.867522 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 81   1.867523 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 82   1.867524 54.230.99.41 -> 192.168.1.2  TCP 150 [TCP segment of a reassembled PDU]
 83   1.867666  192.168.1.2 -> 54.230.99.41 TCP 54 61724→80 [ACK] Seq=99 Ack=70140 Win=65792 Len=0
 84   1.891584 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 85   1.896577 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 86   1.896645  192.168.1.2 -> 54.230.99.41 TCP 54 61724→80 [ACK] Seq=99 Ack=72940 Win=65792 Len=0
 87   1.899189 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 88   1.899191 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 89   1.899193 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 90   1.899194 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 91   1.899195 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 92   1.899196 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 93   1.899196 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 94   1.899197 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 95   1.899198 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 96   1.899199 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 97   1.899352  192.168.1.2 -> 54.230.99.41 TCP 54 61724→80 [ACK] Seq=99 Ack=86940 Win=65792 Len=0
 98   1.899484 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 99   1.899485 54.230.99.41 -> 192.168.1.2  TCP 858 [TCP segment of a reassembled PDU]
100   1.899517  192.168.1.2 -> 54.230.99.41 TCP 54 61724→80 [ACK] Seq=99 Ack=89144 Win=65792 Len=0
101   2.040614 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
102   2.047921 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
103   2.047923 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
104   2.047926 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
105   2.047927 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
106   2.047928 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
107   2.047929 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
108   2.047930 54.230.99.41 -> 192.168.1.2  TCP 474 [TCP segment of a reassembled PDU]
109   2.047931 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
110   2.047931 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
111   2.047933 54.230.99.41 -> 192.168.1.2  HTTP 736 HTTP/1.1 200 OK  (application/octet-stream)
112   2.048120  192.168.1.2 -> 54.230.99.41 TCP 54 61724→80 [ACK] Seq=99 Ack=102846 Win=65792 Len=0
113   2.069149  192.168.1.2 -> 54.230.99.41 TCP 54 61724→80 [FIN, ACK] Seq=99 Ack=102846 Win=65792 Len=0
114   2.095677 54.230.99.41 -> 192.168.1.2  TCP 54 80→61724 [FIN, ACK] Seq=102846 Ack=100 Win=14720 Len=0
115   2.095841  192.168.1.2 -> 54.230.99.41 TCP 54 61724→80 [ACK] Seq=100 Ack=102847 Win=65792 Len=0
