measuring location,id,datetime,S3 location,IP address,network latency,1kb (retrieval latency),10kb,100kb,1mb,10mb
home,68,16.11-16.00,ireland,54.230.98.225,43,.039945,.043076,.031584,.039907,.034673,
home,69,16.11-17.00,ireland,54.230.99.193,41,.027123,.036470,.043025,.038456,.028558,
home,70,16.11-18.00,ireland,54.230.99.162,42,.028564,.028375,.041338,.031452,.037975,
home,71,16.11-19.00,ireland,54.230.97.210,35,.029570,.034540,.027859,.004164,.028467,
home,72,16.11-20.00,ireland,54.230.98.25,40,.029403,.043104,.020137,.038870,.033482,
home,73,16.11-21.00,ireland,54.230.99.98,42,.029231,.028653,.086506,.031224,.029616,
home,74,16.11-22.00,ireland,54.230.98.48,49,.030840,.031941,.306809,.043647,.039854,
home,75,16.11-23.00,ireland,54.230.98.210,44,.029762,.029311,.029273,.036530,.029693,
home,76,17.11-00.00,ireland,54.230.99.246,48,.036405,.027903,.031805,.031779,.029510,
home,77,17.11-01.00,ireland,54.230.98.98,40,.026479,.031249,.028357,.029583,.030409,
home,78,17.11-02.00,ireland,54.230.99.246,81,.028036,.027795,.027319,.031194,.031358,
home,79,17.11-03.00,ireland,54.230.98.130,41,.028657,.030881,.028695,.027992,.027567,
home,80,17.11-04.00,ireland,54.230.98.134,40,.027512,.029012,.038930,.030630,.027763,
home,81,17.11-05.00,ireland,54.230.99.196,41,.028011,.232954,.028234,.027495,.027482,
home,82,17.11-06.00,ireland,54.230.98.85,42,.031518,.033509,.027263,.029089,.027606,
home,83,17.11-07.00,ireland,54.230.98.195,44,.028500,.027546,.026903,.030596,.031642,
home,84,17.11-08.00,ireland,54.230.97.250,33,.029266,.030468,.028481,.030380,.028343,
home,85,17.11-09.00,ireland,54.230.99.162,70,.038867,.032524,.030516,.029722,.028641,
home,86,17.11-10.00,ireland,54.230.99.51,44,.028389,.028413,.036512,.027147,.028160,
home,87,17.11-11.00,ireland,54.230.98.197,43,.027687,.031932,.027534,.032498,.032926,
home,88,16.11-14.00,sydney,54.230.98.156,38,.035883,.041981,.037577,.027927,.027142,
home,89,16.11-15.00,sydney,54.230.99.217,46,.026900,.040515,.031047,.028150,.027548,
home,90,16.11-16.00,sydney,54.230.99.185,43,.065467,.079391,.028379,.031310,.027571,
home,91,16.11-17.00,sydney,54.230.98.48,44,.033426,.029287,.026770,.028132,.027003,
home,92,16.11-18.00,sydney,54.230.98.94,37,.029605,.040014,.032045,.031036,.584529,
home,93,16.11-19.00,sydney,54.230.98.225,41,.027678,.028445,.027594,.039543,.035825,
home,94,16.11-20.00,sydney,54.230.98.240,37,.031742,.035874,.028358,.029544,.040376,
home,95,16.11-21.00,sydney,54.230.98.130,51,.096852,.032985,.032520,.051383,.026176,
home,96,16.11-22.00,sydney,54.230.99.203,73,.033337,.035879,.037057,.054530,.036144,
home,97,16.11-23.00,sydney,54.230.99.62,46,.037969,.305428,.030171,.031619,.034633,
home,98,17.11-00.00,sydney,54.230.99.43,97,.045347,.031752,.030865,.041986,.031217,
home,99,17.11-01.00,sydney,54.230.99.30,45,.032901,.036204,.036628,.029494,.028633,
home,100,17.11-02.00,sydney,54.230.99.196,49,.036008,.027132,.027939,.028059,.032283,
home,101,17.11-03.00,sydney,54.230.99.196,39,.043640,.029397,.029345,.028736,.032053,
home,102,17.11-04.00,sydney,54.230.99.196,44,.027106,.027032,.027625,.028164,.029579,
home,103,17.11-05.00,sydney,54.230.98.98,61,.027158,.030847,.028867,.032080,.027266,
home,104,17.11-06.00,sydney,192.168.1.1,41,.046241,.029402,.030906,.030643,.000455,
home,105,17.11-07.00,sydney,54.230.99.196,39,.030792,.027886,.028734,.029380,.028693,
home,106,17.11-08.00,sydney,54.230.98.197,16,.028600,.027252,.057554,.029870,.028361,
home,107,17.11-09.00,sydney,192.241.187.124,12,.028712,.038134,.033530,.028397,.000133,
home,108,17.11-10.00,sydney,54.230.96.123,40,.028631,.046621,.030944,.031563,.030032,
home,109,17.11-11.00,sydney,,44,.035355,.028345,.031542,.029406,,
home,110,16.11-14.00,usstandard,54.230.99.21,43,.031483,.030368,.018220,.028458,.026539,
home,111,16.11-15.00,usstandard,54.230.99.193,43,.029998,.032766,.032435,.029084,.032347,
home,112,16.11-16.00,usstandard,54.230.99.193,45,.036208,.048624,.054693,.028807,.041051,
home,113,16.11-17.00,usstandard,54.230.99.200,38,.040775,.016933,.028512,.037433,.026515,
home,114,16.11-18.00,usstandard,54.230.98.225,62,.050826,.030300,.037341,.027504,.030285,
home,115,16.11-19.00,usstandard,54.230.99.162,43,.028136,.027903,.029135,.031027,.028652,
home,116,16.11-20.00,usstandard,54.230.99.58,47,.035235,.039005,.085731,.031024,.029161,
home,117,16.11-21.00,usstandard,54.230.98.58,41,.027543,.029893,.033956,.031905,.035779,
home,118,16.11-22.00,usstandard,54.230.98.50,13,.030995,.028520,.040670,.058791,.039222,
home,119,16.11-23.00,usstandard,54.230.98.197,46,.030422,.033366,.039679,.031850,.031769,
home,120,17.11-00.00,usstandard,54.230.98.43,45,.030338,.033193,.039576,.038703,.029482,
home,121,17.11-01.00,usstandard,54.230.99.111,37,.027500,.029377,.036495,.028885,.028567,
home,122,17.11-02.00,usstandard,54.230.98.195,45,.027533,.027675,.039910,.029283,.033773,
