[Measurement for 100kb at 18:05:22 16.05.2014] 
Tshark:

 53   1.333677 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 54   1.334560 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 55   1.334624  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=33315 Win=65792 Len=0
 56   1.335558 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 57   1.335598 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 58   1.335644  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=36115 Win=65792 Len=0
 59   1.337320 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 60   1.337358 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 61   1.337419  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=38915 Win=65792 Len=0
 62   1.338796 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 63   1.339993 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 64   1.340035  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=41715 Win=65792 Len=0
 65   1.340093 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 66   1.340114 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 67   1.340142  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=44515 Win=65792 Len=0
 68   1.340210 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 69   1.340761 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 70   1.340870  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=47315 Win=65792 Len=0
 71   1.345819 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 72   1.345853 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 73   1.345886  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=50115 Win=65792 Len=0
 74   1.345964 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 75   1.345986 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 76   1.346006  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=52915 Win=65792 Len=0
 77   1.346055 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 78   1.346079 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 79   1.346107  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=55715 Win=65792 Len=0
 80   1.346160 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 81   1.348487 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 82   1.348548  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=58515 Win=65792 Len=0
 83   1.348614 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 84   1.362528 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 85   1.362629  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=61315 Win=65792 Len=0
 86   1.363687 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 87   1.364947 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
