[Measurement for 100kb at 10:04:35 17.04.2014] 
Tshark:

 56   0.262204 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 57   0.262334  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=55057 Win=65792 Len=0
 58   0.266657 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 59   0.269302 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 60   0.269360  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=57857 Win=65792 Len=0
 61   0.270365 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 62   0.270366 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 63   0.270436  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=60657 Win=65792 Len=0
 64   0.270830 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 65   0.272088 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 66   0.272145  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=63457 Win=65792 Len=0
 67   0.272643 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 68   0.272645 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 69   0.272718  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=66257 Win=65792 Len=0
 70   0.289200 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 71   0.290081 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 72   0.290083 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 73   0.290155  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=70457 Win=65792 Len=0
 74   0.290532 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 75   0.290534 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 76   0.290616  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=73257 Win=65792 Len=0
 77   0.297485 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 78   0.297540  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=74657 Win=65792 Len=0
 79   0.299044 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 80   0.299045 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 81   0.299047 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 82   0.299049 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 83   0.299050 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 84   0.299051 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 85   0.299184  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=83057 Win=65792 Len=0
 86   0.305484 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 87   0.307395 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 88   0.307448  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=85857 Win=65792 Len=0
 89   0.308389 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 90   0.308391 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 91   0.308391 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 92   0.308394 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 93   0.308395 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 94   0.308396 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 95   0.308397 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 96   0.308540  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=95657 Win=65792 Len=0
 97   0.312284 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 98   0.312285 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 99   0.312348  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=98457 Win=65792 Len=0
100   0.329266 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
101   0.331761 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
102   0.331763 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
103   0.331765 54.230.98.75 -> 192.168.1.2  HTTP 254 HTTP/1.1 200 OK  (application/octet-stream)
104   0.331863  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=102857 Win=65792 Len=0
105   0.331973  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [FIN, ACK] Seq=99 Ack=102857 Win=65792 Len=0
106   0.358856 54.230.98.75 -> 192.168.1.2  TCP 54 80→52056 [FIN, ACK] Seq=102857 Ack=100 Win=14720 Len=0
107   0.359014  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=100 Ack=102858 Win=65792 Len=0
108   0.464748 fe80::5ef9:6aff:fe25:83d4 -> fe80::446a:b521:8794:ef65 ICMPv6 86 Neighbor Solicitation for fe80::446a:b521:8794:ef65 from 5c:f9:6a:25:83:d4
109   0.464830 fe80::446a:b521:8794:ef65 -> fe80::5ef9:6aff:fe25:83d4 ICMPv6 86 Neighbor Advertisement fe80::446a:b521:8794:ef65 (sol, ovr) is at 00:24:d7:3f:fc:98
110   1.169475  192.168.1.2 -> 54.221.227.112 TLSv1.2 90 Application Data
111   1.307686 54.221.227.112 -> 192.168.1.2  TCP 54 443→50741 [ACK] Seq=1 Ack=37 Win=71 Len=0
112   1.328529 54.221.227.112 -> 192.168.1.2  TLSv1.2 86 Application Data
113   1.378204  192.168.1.2 -> 54.221.227.112 TCP 54 50741→443 [ACK] Seq=37 Ack=33 Win=254 Len=0
